Date,Open,High,Low,Close,Adj Close,Volume
1998-03-01,11.925000,14.100000,11.625000,13.300000,3.309701,24337400
1998-04-01,13.300000,16.000000,13.075000,14.750000,3.716144,24193200
1998-05-01,14.925000,15.875000,14.675000,14.850000,3.741341,13849400
1998-06-01,14.700000,14.800000,13.250000,14.375000,3.621667,19866400
1998-07-01,14.450000,15.025000,13.400000,13.550000,3.456788,17140200
1998-08-01,13.450000,13.450000,9.500000,10.150000,2.589402,17076400
1998-09-01,10.300000,11.850000,9.925000,11.250000,2.870027,19550600
1998-10-01,10.775000,11.650000,10.075000,11.550000,2.990968,24893800
1998-11-01,11.625000,13.125000,11.250000,11.925000,3.088078,13442400
1998-12-01,11.750000,12.750000,11.750000,12.400000,3.211083,14331600
1999-01-01,12.350000,12.775000,11.150000,11.725000,3.077812,14613400
1999-02-01,11.700000,11.950000,10.125000,10.500000,2.756250,13196600
1999-03-01,10.375000,11.700000,9.900000,11.025000,2.894062,26357600
1999-04-01,10.850000,12.400000,10.825000,11.750000,3.130654,18025000
1999-05-01,11.725000,11.725000,10.750000,10.950000,2.917502,15480600
1999-06-01,10.975000,10.975000,9.500000,9.650000,2.571132,20013200
1999-07-01,9.750000,10.275000,9.225000,9.275000,2.516747,14615800
1999-08-01,9.350000,9.600000,8.750000,9.050000,2.455695,23068600
1999-09-01,9.075000,9.675000,8.575000,8.750000,2.374290,15591600
1999-10-01,8.750000,9.100000,8.475000,8.950000,2.476231,17640800
1999-11-01,9.050000,9.450000,8.550000,8.650000,2.393227,20821400
1999-12-01,8.650000,9.400000,8.500000,9.250000,2.559232,27904400
2000-01-01,9.100000,9.100000,8.125000,8.725000,2.463244,25586600
2000-02-01,8.750000,11.125000,8.625000,9.875000,2.787912,38544400
2000-03-01,10.025000,11.550000,9.375000,10.625000,2.999651,34360200
2000-04-01,10.625000,10.750000,10.000000,10.400000,2.990107,21151800
2000-05-01,10.400000,11.400000,10.100000,11.000000,3.162613,19292000
2000-06-01,11.100000,12.375000,11.025000,11.050000,3.176989,22158600
2000-07-01,11.075000,11.300000,10.375000,10.750000,3.140992,17563800
2000-08-01,10.700000,11.675000,10.425000,11.675000,3.411264,17622000
2000-09-01,11.750000,12.725000,11.550000,11.900000,3.477005,20347400
2000-10-01,11.950000,12.600000,10.775000,12.475000,3.703777,23403800
2000-11-01,12.325000,12.625000,11.475000,11.750000,3.488528,20246600
2000-12-01,11.900000,13.725000,11.825000,13.300000,3.948716,33517200
2001-01-01,13.250000,14.600000,12.875000,14.500000,4.367983,33552800
2001-02-01,14.500000,16.125000,14.150000,14.800000,4.458356,30495400
2001-03-01,14.750000,15.350000,13.700000,13.910000,4.190252,26155600
2001-04-01,13.900000,14.375000,12.850000,13.225000,4.040222,19047200
2001-05-01,13.125000,14.175000,12.550000,13.985000,4.272400,24214400
2001-06-01,14.075000,15.125000,14.075000,14.500000,4.429733,21076600
2001-07-01,14.475000,15.320000,14.260000,14.985000,4.644567,13451000
2001-08-01,14.875000,15.175000,14.490000,14.750000,4.571731,30727400
2001-09-01,14.675000,14.900000,11.250000,14.000000,4.339269,21981400
2001-10-01,13.975000,14.050000,12.050000,12.125000,3.820901,18119400
2001-11-01,12.055000,13.770000,11.925000,13.745000,4.331407,20287200
2001-12-01,13.650000,15.115000,13.625000,14.850000,4.679621,21212600
2002-01-01,14.810000,15.065000,14.320000,15.000000,4.795513,21002000
2002-02-01,14.995000,15.405000,14.455000,15.095000,4.825885,21719600
2002-03-01,15.350000,16.809999,15.350000,16.225000,5.187146,37579600
2002-04-01,16.225000,17.575001,16.125000,16.700001,5.417931,40309200
2002-05-01,16.650000,16.865000,15.750000,16.450001,5.336823,28436600
2002-06-01,16.375000,16.750000,14.505000,15.150000,4.915068,24910200
2002-07-01,15.125000,15.825000,14.255000,15.800000,5.208180,36625400
2002-08-01,15.750000,16.250000,14.395000,14.720000,4.852179,25564200
2002-09-01,14.575000,15.250000,13.045000,14.725000,4.853826,25550400
2002-10-01,14.725000,15.800000,14.000000,14.695000,4.931611,37213200
2002-11-01,14.760000,16.299999,14.750000,15.505000,5.203445,16645400
2002-12-01,15.750000,16.450001,15.025000,16.150000,5.419903,22624000
2003-01-01,16.200001,16.719999,15.605000,15.880000,5.415868,41734000
2003-02-01,15.950000,16.450001,15.525000,16.250000,5.542058,23592400
2003-03-01,16.299999,16.565001,15.610000,16.184999,5.519889,25499000
2003-04-01,16.120001,17.610001,16.110001,17.450001,6.047038,31479000
2003-05-01,17.450001,18.105000,17.225000,17.375000,6.021048,24589000
2003-06-01,17.434999,18.600000,17.299999,18.420000,6.383180,37365000
