Date,Open,High,Low,Close,Adj Close,Volume
2003-10-01,8.500000,8.800000,8.400000,8.750000,3.652184,1109700
2003-11-01,8.750000,9.450000,8.500000,9.450000,3.987754,1557500
2003-12-01,9.500000,9.880000,9.100000,9.550000,4.072000,1353100
2004-01-01,9.550000,11.050000,9.310000,10.800000,4.650529,1044400
2004-02-01,10.660000,11.300000,10.100000,11.000000,4.778297,1722600
2004-03-01,11.000000,11.030000,10.600000,10.810000,4.753776,1986300
2004-04-01,10.750000,10.850000,9.710000,9.900000,4.392412,1593300
2004-05-01,10.000000,10.420000,9.250000,10.300000,4.612219,1417200
2004-06-01,10.150000,10.870000,10.150000,10.790000,4.877363,853600
2004-07-01,10.790000,11.150000,10.670000,11.000000,5.017754,1773400
2004-08-01,11.140000,11.600000,11.000000,11.500000,5.292618,1912700
2004-09-01,11.550000,12.200000,11.250000,11.830000,5.511804,1481100
2004-10-01,11.830000,14.750000,11.540000,14.300000,6.718220,2459800
2004-11-01,14.100000,14.130000,13.650000,14.100000,6.675021,2808500
2004-12-01,13.910000,15.750000,13.800000,15.230000,7.284297,4649900
2005-01-01,15.390000,18.500000,15.050000,18.200001,8.704811,3674200
2005-02-01,18.250000,18.500000,16.049999,17.639999,8.485784,5126100
2005-03-01,17.320000,17.740000,14.280000,16.250000,7.884338,3481400
2005-04-01,16.250000,17.480000,15.400000,16.700001,8.158201,2830700
2005-05-01,16.820000,17.400000,16.799999,17.100000,8.404961,2558000
2005-06-01,17.100000,17.490000,16.299999,16.680000,8.249962,1407900
2005-07-01,16.420000,17.590000,15.330000,17.200001,8.561496,3889400
2005-08-01,17.240000,17.570000,16.740000,17.500000,8.765926,2118500
2005-09-01,17.250000,17.250000,15.000000,16.320000,8.247793,3399700
2005-10-01,16.230000,16.450001,13.010000,15.050000,7.658452,2688200
2005-11-01,15.000000,17.549999,14.580000,17.000000,8.713346,2627300
2005-12-01,17.010000,18.299999,16.799999,17.059999,8.823626,2990800
2006-01-01,17.250000,19.650000,16.830000,18.900000,9.837667,2684500
2006-02-01,19.080000,19.850000,17.600000,18.350000,9.610508,4332200
2006-03-01,18.400000,19.530001,18.129999,19.490000,10.231289,4212100
2006-04-01,19.299999,19.549999,18.400000,18.520000,9.785397,1962800
2006-05-01,18.440001,18.990000,16.250000,18.700001,9.947031,2758400
2006-06-01,18.750000,18.750000,16.450001,16.950001,9.098554,1931600
2006-07-01,16.950001,16.990000,14.840000,15.880000,8.589379,4883600
2006-08-01,15.900000,16.379999,15.520000,15.790000,8.612000,3514200
2006-09-01,15.780000,17.230000,15.700000,16.620001,9.161544,2805200
