"";"V1";"V2";"V3";"V4";"V5";"V6";"V7";"V8";"V9";"V10";"V11";"V12";"V13";"V14";"V15";"V16";"V17";"V18";"V19";"V20";"V21";"V22";"V23";"V24";"V25";"V26";"V27";"V28";"V29";"V30"
"17";188,335529931742;166,335148767971;331,866215943166;299,077625241426;204,58378292184;240,579208219304;234,88482243771;260,846237540539;62,7183742264499;143,188751572194;63,5628037739809;77,5842353717537;159,481545217233;154,782332195808;26,9100572872489;65,9256975364037;187,212807951151;37,7967077485889;2,64804910482709;251,720100181363;157,397433182114;75,2222947687765;228,344071662167;29,0309912568998;131,425211937249;91,3689981310549;85,4065965578394;61,0656508580667;58,5532462112381;23,4628988985016
"18";89,8758431774837;84,6021565824913;169,520536858929;141,127505754586;113,919745642265;110,27229845096;260,517604562995;135,064306024181;38,7403962387042;74,7616080179328;28,545306824878;46,6317596270948;75,82652569691;62,9830714258375;32,4107992809273;26,3004467294575;37,7967077485889;39,2190710159157;-11,8290027861681;128,53017906036;64,9697563569495;-58,2204819053635;94,0371561233038;30,6153465024977;66,8105153244206;48,9382521900091;53,544272587101;24,8805768613834;11,8746875509636;22,6250579312945
"19";-35,5241912890056;-27,2618523230993;-65,214056264221;-61,4739746850761;-41,4204838346312;-32,0325885998686;-50,0178028712689;-55,6049392695929;-21,3852665359669;-29,24605997938;-7,94673181589066;-25,0904717616813;-29,7915773489536;-32,186464295614;-3,00159523168486;-5,96500669215054;2,64804910482709;-11,8290027861681;17,4134542705965;-51,7362202005183;-27,7997187607555;117,370524357365;-30,2193409146043;-13,098848336051;-28,4799024736884;-17,9119034188035;-5,08020609931192;-8,61917432929471;2,1816940157812;-2,81499689431446
"20";385,824674357156;369,412754548433;735,38307613542;630,559458164038;497,582278493766;481,121334638542;967,118861395571;582,721960197701;168,699873255477;333,043017840109;121,617871335537;202,193060564178;343,952405575393;302,75392679548;98,2409939155884;116,813312335846;251,720100181363;128,53017906036;-51,7362202005183;602,953810525066;308,211160522534;-253,855854187838;440,464296635121;113,238650994169;300,75670390336;206,513990941158;195,688851238122;119,936628408217;53,3812974498069;81,8345357455075
"21";220,110572070272;195,455103214538;396,388548061231;356,750711775475;247,43275204284;247,222580787876;340,348563636627;322,99825152411;94,2943132533485;171,849914152123;63,8084205758503;113,742465222947;186,483844667;178,004736751931;35,9245336338967;65,1509346049399;157,397433182114;64,9697563569495;-27,7997187607555;308,211160522534;181,294002435372;-140,680660337187;236,296736314939;56,5301549641389;159,000324070897;109,776327379858;106,408934506512;63,7663163771117;46,0532131911757;36,3112416308862
"22";-170,630977148742;-120,265244204107;-313,262316814128;-307,777737074495;-180,344992323016;-113,621750049631;37,7264038023031;-272,052940782087;-125,593371950111;-138,699551766735;-27,4454772581298;-146,001630498949;-143,411914221196;-165,835255776953;22,5345734728075;-15,5198082179308;75,2222947687765;-58,2204819053635;117,370524357365;-253,855854187838;-140,680660337187;823,592489513746;-128,777518061612;-66,6415248537236;-144,108583645221;-81,384222953762;17,5335762378546;-33,8887157341533;97,1120708205941;4,33936852098185
"23";308,580680891949;290,724789196373;569,789016377033;493,620130488739;374,043715251216;386,618048043248;641,107676538616;445,820944576092;124,1678583997;252,030805495849;99,515526882831;151,548950815021;264,228982988359;231,10998070264;71,0136861907719;92,101796836266;228,344071662167;94,0371561233038;-30,2193409146043;440,464296635121;236,296736314939;-128,777518061612;369,425847452584;74,1068818645685;226,652839496465;157,847693464468;166,21339354752;87,6507709829886;57,4797225889963;58,812121323039
"24";76,9285183147422;68,3217048263297;138,61293345256;126,676009179229;92,6891767652515;90,1770915640652;291,270019394489;124,531879041902;36,7662509498133;61,9660413583854;24,6302990461821;42,9813901123282;62,783576393845;59,1415493399919;39,1168182923921;24,066287933108;29,0309912568998;30,6153465024977;-13,098848336051;113,238650994169;56,5301549641389;-66,6415248537236;74,1068818645685;34,6320700235704;55,9262408204357;42,5546021766324;36,4200301007505;26,1994680710576;46,6984476994959;22,257868102576
"25";203,292174193783;189,126511882284;386,271444981009;329,352684327775;259,70085813717;254,154073380809;490,940673198608;303,829732485226;87,9089799958126;171,395355162742;65,4602123319452;105,433321934439;177,349916267826;161,625081817371;59,0660435007243;60,2818273921904;131,425211937249;66,8105153244206;-28,4799024736884;300,75670390336;159,000324070897;-144,108583645221;226,652839496465;55,9262408204357;164,886526715097;107,72335255215;107,534543454224;62,7785933841059;23,715237495712;41,6835965943539
"26";147,0236946249;134,086252217195;271,159598007317;234,05990579447;185,627128742418;183,212839952865;422,884028488687;217,965496751212;57,9208007464574;120,636951398282;46,8598618034077;70,3597103075908;124,431347916729;112,982948689624;46,2720155804777;43,5972163324185;91,3689981310549;48,9382521900091;-17,9119034188035;206,513990941158;109,776327379858;-81,384222953762;157,847693464468;42,5546021766324;107,72335255215;77,926476809802;82,926278928291;42,946442618388;56,0461524754625;32,9694845247384
"27";152,361029111047;142,706822632834;286,845781796374;225,824287943556;199,405580489975;215,316149480069;373,672700124507;216,876827602089;41,8134512392969;124,487301554965;54,3843909146231;54,3630712803331;128,864320639008;107,437064194418;44,9864131844888;45,134634011394;85,4065965578394;53,544272587101;-5,08020609931192;195,688851238122;106,408934506512;17,5335762378546;166,21339354752;36,4200301007505;107,534543454224;82,926278928291;94,0778622154711;40,7926363049009;47,9126705218322;34,5515341854258
"28";80,8455830424359;73,272937512027;147,496025855418;136,079590564561;98,1217600658814;97,0788558174887;276,040428058236;124,208571538719;36,2092242077613;64,4052513965523;26,2540265354084;42,4247608313406;67,5407835925746;68,1251384946067;36,0618374626202;28,1290479017598;61,0656508580667;24,8805768613834;-8,61917432929471;119,936628408217;63,7663163771117;-33,8887157341533;87,6507709829886;26,1994680710576;62,7785933841059;42,946442618388;40,7926363049009;31,2433388197632;49,0889769737834;17,2825703372123
"29";104,158935298622;52,7957275142447;125,277061888797;162,648036863891;82,4713700402329;139,566292246555;427,256417337925;154,204434605923;12,5649585726388;58,0943019461865;40,5235825390371;14,1858557012589;51,8570511859834;66,5747255143039;78,3504305715;44,4778817064254;58,5532462112381;11,8746875509636;2,1816940157812;53,3812974498069;46,0532131911757;97,1120708205941;57,4797225889963;46,6984476994959;23,715237495712;56,0461524754625;47,9126705218322;49,0889769737834;106,900136131064;18,0110832459813
"30";54,8559096328272;53,7906325483122;105,170882328646;82,1930605152252;82,428529988225;84,3406174037524;146,305985956389;88,4594611697263;16,638881963618;49,831287095062;22,0407956202718;20,6387954689618;48,0272606945871;38,7826584963749;20,664695454;17,1360442018831;23,4628988985016;22,6250579312945;-2,81499689431446;81,8345357455075;36,3112416308862;4,33936852098185;58,812121323039;22,257868102576;41,6835965943539;32,9694845247384;34,5515341854258;17,2825703372123;18,0110832459813;13,950210214071
